timestamp,bt_navigator,amcl,map_server,controller_server,smoother_server,planner_server,behavior_server,velocity_smoother
2025-06-20T18:59:46.228331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-20T18:59:47.230492,11.0,12.0,4.0,7.0,5.0,4.0,5.0,4.0
2025-06-20T18:59:48.231660,8.0,8.0,7.0,9.0,11.0,12.0,8.0,6.0
2025-06-20T18:59:49.235325,7.0,10.0,7.0,10.0,7.0,9.0,10.0,6.0
2025-06-20T18:59:50.236983,10.0,9.0,10.0,16.0,10.0,7.0,9.0,9.0
2025-06-20T18:59:51.237835,5.0,7.0,3.0,8.0,5.0,6.0,5.0,3.0
2025-06-20T18:59:52.238383,8.0,7.0,4.0,9.0,6.0,8.0,4.0,2.0
2025-06-20T18:59:53.240206,27.0,8.0,7.0,13.0,9.0,13.0,10.0,7.0
2025-06-20T18:59:54.240787,13.0,8.0,6.0,10.0,8.0,10.0,10.0,6.0
2025-06-20T18:59:55.241338,11.0,9.0,5.0,11.0,6.0,9.0,8.0,5.0
2025-06-20T18:59:56.242562,10.0,7.0,6.0,10.0,8.0,10.0,9.0,5.0
2025-06-20T18:59:57.243066,11.0,8.0,5.0,10.0,7.0,9.0,7.0,6.0
2025-06-20T18:59:58.243649,11.0,8.0,6.0,11.0,7.0,9.0,9.0,5.0
2025-06-20T18:59:59.244087,11.0,9.0,6.0,10.0,8.0,10.0,9.0,6.0
2025-06-20T19:00:00.244954,10.0,8.0,4.0,11.0,7.0,10.0,8.0,5.0
2025-06-20T19:00:01.245608,11.0,9.0,6.0,10.0,7.0,9.0,8.0,5.0
2025-06-20T19:00:02.249079,11.0,7.0,5.0,11.0,8.0,9.0,9.0,6.0
2025-06-20T19:00:03.249875,10.0,8.0,6.0,10.0,7.0,10.0,8.0,6.0
2025-06-20T19:00:04.251091,11.0,9.0,5.0,10.0,7.0,10.0,9.0,4.0
2025-06-20T19:00:05.251676,11.0,9.0,6.0,11.0,8.0,9.0,8.0,7.0
2025-06-20T19:00:06.252262,11.0,9.0,5.0,11.0,7.0,9.0,9.0,4.0
2025-06-20T19:00:07.252858,10.0,8.0,6.0,9.0,7.0,10.0,8.0,5.0
2025-06-20T19:00:08.253368,11.0,8.0,5.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:00:09.254683,10.0,8.0,5.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:00:10.256096,11.0,9.0,6.0,10.0,7.0,10.0,10.0,5.0
2025-06-20T19:00:11.256793,10.0,7.0,6.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T19:00:12.257586,11.0,8.0,5.0,11.0,9.0,9.0,10.0,5.0
2025-06-20T19:00:13.259922,9.0,8.0,5.0,11.0,7.0,11.0,10.0,5.0
2025-06-20T19:00:14.260621,11.0,8.0,6.0,10.0,8.0,10.0,9.0,5.0
2025-06-20T19:00:15.262956,11.0,9.0,5.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:00:16.263683,12.0,8.0,6.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T19:00:17.264986,18.0,7.0,6.0,12.0,8.0,11.0,9.0,5.0
2025-06-20T19:00:18.267705,18.0,9.0,5.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:00:19.268149,19.0,7.0,5.0,12.0,7.0,10.0,9.0,6.0
2025-06-20T19:00:20.269138,18.0,8.0,6.0,12.0,7.0,10.0,10.0,6.0
2025-06-20T19:00:21.270525,19.0,8.0,6.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T19:00:22.271202,18.0,8.0,4.0,12.0,8.0,10.0,9.0,6.0
2025-06-20T19:00:23.271678,18.0,8.0,6.0,12.0,7.0,11.0,10.0,6.0
2025-06-20T19:00:24.272172,19.0,7.0,5.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T19:00:25.273883,17.0,9.0,6.0,12.0,7.0,10.0,10.0,6.0
2025-06-20T19:00:26.275252,19.0,8.0,5.0,11.0,9.0,11.0,9.0,6.0
2025-06-20T19:00:27.278038,18.0,7.0,5.0,11.0,7.0,9.0,10.0,6.0
2025-06-20T19:00:28.278953,17.0,8.0,5.0,12.0,8.0,10.0,9.0,5.0
2025-06-20T19:00:29.279643,19.0,8.0,7.0,11.0,7.0,12.0,10.0,6.0
2025-06-20T19:00:30.280143,17.0,9.0,5.0,11.0,7.0,10.0,10.0,6.0
