realtime,time,voltage,current,percentage
2025-06-11T15:09:53.863832,2.001,16.474000930786133,-0.15000000596046448,1.0
2025-06-11T15:09:55.652731,3.0,16.474000930786133,-0.15000000596046448,1.0
2025-06-11T15:09:57.954228,4.002,16.474000930786133,-0.15000000596046448,1.0
2025-06-11T15:09:59.930367,5.001,16.473861694335938,-0.5260000228881836,0.9999768137931824
2025-06-11T15:10:01.926033,6.0,16.473329544067383,-0.5260000228881836,0.9998881816864014
2025-06-11T15:10:03.921232,7.002,16.472795486450195,-0.5260000228881836,0.9997992515563965
2025-06-11T15:10:05.882580,8.001,16.47226333618164,-0.5260000228881836,0.9997105598449707
2025-06-11T15:10:07.887715,9.0,16.471731185913086,-0.5260000228881836,0.9996219277381897
2025-06-11T15:10:09.877907,10.002,16.4711971282959,-0.5260000228881836,0.9995329976081848
2025-06-11T15:10:11.904179,11.001,16.470666885375977,-0.5260000228881836,0.9994443655014038
2025-06-11T15:10:13.895757,12.0,16.470134735107422,-0.5260000228881836,0.999355673789978
2025-06-11T15:10:15.907696,13.002,16.469600677490234,-0.5260000228881836,0.9992667436599731
2025-06-11T15:10:17.969493,14.001,16.46906852722168,-0.40400001406669617,0.9991781711578369
2025-06-11T15:10:20.214852,15.0,16.468536376953125,-0.5260000228881836,0.9990894198417664
2025-06-11T15:10:22.501933,16.002,16.468002319335938,-0.5260000228881836,0.9990004897117615
2025-06-11T15:10:24.701223,17.001,16.467472076416016,-0.5260000228881836,0.9989118576049805
2025-06-11T15:10:26.921567,18.0,16.46693992614746,-0.5260000228881836,0.9988231658935547
2025-06-11T15:10:29.159271,19.002,16.466405868530273,-0.5260000228881836,0.9987342357635498
2025-06-11T15:10:31.416187,20.001,16.46587371826172,-0.5260000228881836,0.9986456036567688
2025-06-11T15:10:33.652706,21.0,16.465341567993164,-0.5260000228881836,0.998556911945343
2025-06-11T15:10:35.861895,22.002,16.464807510375977,-0.5260000228881836,0.9984679818153381
2025-06-11T15:10:38.072579,23.001,16.464275360107422,-0.5260000228881836,0.9983793497085571
2025-06-11T15:10:40.288265,24.0,16.463743209838867,-0.5260000228881836,0.9982906579971313
2025-06-11T15:10:42.464558,25.002,16.463211059570312,-0.5260000228881836,0.9982017278671265
2025-06-11T15:10:44.636515,26.001,16.462678909301758,-0.5260000228881836,0.9981130957603455
2025-06-11T15:10:46.831328,27.0,16.462146759033203,-0.5260000228881836,0.9980244040489197
2025-06-11T15:10:49.049851,28.002,16.461612701416016,-0.5260000228881836,0.9979354739189148
2025-06-11T15:10:51.250647,29.001,16.46108055114746,-0.5260000228881836,0.9978468418121338
2025-06-11T15:10:53.459497,30.0,16.460548400878906,-0.5260000228881836,0.997758150100708
2025-06-11T15:10:55.656794,31.002,16.46001625061035,-0.5260000228881836,0.9976692199707031
2025-06-11T15:10:57.835352,32.001,16.459484100341797,-0.5260000228881836,0.9975805878639221
2025-06-11T15:11:00.026812,33.0,16.458951950073242,-0.5260000228881836,0.9974918961524963
2025-06-11T15:11:02.260437,34.002,16.458417892456055,-0.5260000228881836,0.9974030256271362
2025-06-11T15:11:04.452661,35.001,16.4578857421875,-0.5260000228881836,0.9973143339157104
2025-06-11T15:11:06.620679,36.0,16.457353591918945,-0.5260000228881836,0.9972257018089294
2025-06-11T15:11:08.831923,37.002,16.45682144165039,-0.5260000228881836,0.9971367716789246
2025-06-11T15:11:11.054927,38.001,16.456289291381836,-0.5260000228881836,0.9970480799674988
2025-06-11T15:11:13.257110,39.0,16.45575714111328,-0.5260000228881836,0.9969594478607178
2025-06-11T15:11:15.384548,40.002,16.455223083496094,-0.5260000228881836,0.9968705177307129
2025-06-11T15:11:17.570387,41.001,16.45469093322754,-0.5260000228881836,0.9967818260192871
2025-06-11T15:11:19.748516,42.0,16.454158782958984,-0.5260000228881836,0.9966931939125061
2025-06-11T15:11:21.945527,43.002,16.453624725341797,-0.5260000228881836,0.9966042637825012
2025-06-11T15:11:24.137735,44.001,16.453092575073242,-0.5260000228881836,0.9965155720710754
2025-06-11T15:11:26.325805,45.0,16.45256233215332,-0.5260000228881836,0.9964269399642944
2025-06-11T15:11:28.509944,46.002,16.452028274536133,-0.5260000228881836,0.9963380098342896
2025-06-11T15:11:30.680978,47.001,16.451496124267578,-0.5260000228881836,0.9962493181228638
2025-06-11T15:11:32.881142,48.0,16.450963973999023,-0.5260000228881836,0.9961606860160828
2025-06-11T15:11:35.102352,49.002,16.450429916381836,-0.5260000228881836,0.9960717558860779
2025-06-11T15:11:37.313022,50.001,16.44989776611328,-0.5260000228881836,0.9959830641746521
2025-06-11T15:11:39.480058,51.0,16.44936752319336,-0.5260000228881836,0.9958944320678711
2025-06-11T15:11:41.685037,52.002,16.448833465576172,-0.5260000228881836,0.9958055019378662
2025-06-11T15:11:43.905584,53.001,16.448301315307617,-0.5260000228881836,0.9957168102264404
2025-06-11T15:11:46.064160,54.0,16.447769165039062,-0.5260000228881836,0.9956281781196594
2025-06-11T15:11:48.239111,55.002,16.447235107421875,-0.5260000228881836,0.9955392479896545
2025-06-11T15:11:50.417666,56.001,16.44670295715332,-0.5260000228881836,0.9954506158828735
2025-06-11T15:11:52.577116,57.0,16.446170806884766,-0.5260000228881836,0.9953619241714478
2025-06-11T15:11:54.727594,58.002,16.44563865661621,-0.5260000228881836,0.9952729940414429
2025-06-11T15:11:56.934496,59.001,16.445106506347656,-0.5260000228881836,0.9951843619346619
2025-06-11T15:11:59.130116,60.0,16.4445743560791,-0.5260000228881836,0.9950956702232361
