timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-02T11:33:21.218190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-02T11:33:22.218753,5.0,7.0,5.0,6.0,5.0,4.0,5.0,2.0
2025-06-02T11:33:23.221300,6.0,9.0,6.0,6.0,6.0,6.0,7.0,5.0
2025-06-02T11:33:24.223082,6.0,9.0,8.0,7.0,9.0,7.0,8.0,6.0
2025-06-02T11:33:25.226151,9.0,6.0,9.0,9.0,9.0,10.0,11.0,8.0
2025-06-02T11:33:26.226756,8.0,11.0,10.0,7.0,11.0,9.0,9.0,8.0
2025-06-02T11:33:27.227370,4.0,19.0,6.0,5.0,5.0,5.0,6.0,3.0
2025-06-02T11:33:28.227919,4.0,7.0,10.0,6.0,6.0,4.0,5.0,2.0
2025-06-02T11:33:29.231353,3.0,7.0,9.0,5.0,6.0,5.0,7.0,2.0
2025-06-02T11:33:30.234201,5.0,7.0,10.0,7.0,10.0,7.0,7.0,5.0
2025-06-02T11:33:31.235030,7.0,8.0,13.0,8.0,12.0,10.0,27.0,7.0
2025-06-02T11:33:32.235693,5.0,9.0,11.0,7.0,9.0,9.0,11.0,5.0
2025-06-02T11:33:33.236539,6.0,8.0,10.0,8.0,10.0,8.0,10.0,6.0
2025-06-02T11:33:34.239450,5.0,7.0,11.0,6.0,10.0,8.0,10.0,4.0
2025-06-02T11:33:35.241042,5.0,9.0,11.0,8.0,9.0,8.0,11.0,7.0
2025-06-02T11:33:36.242584,6.0,9.0,12.0,7.0,10.0,9.0,10.0,5.0
2025-06-02T11:33:37.244208,4.0,8.0,10.0,7.0,9.0,8.0,11.0,5.0
2025-06-02T11:33:38.244837,6.0,7.0,11.0,8.0,10.0,10.0,10.0,5.0
2025-06-02T11:33:39.245699,6.0,9.0,12.0,8.0,10.0,9.0,11.0,5.0
2025-06-02T11:33:40.246543,5.0,8.0,11.0,7.0,11.0,11.0,10.0,6.0
2025-06-02T11:33:41.247230,4.0,9.0,12.0,7.0,10.0,9.0,11.0,5.0
2025-06-02T11:33:42.247773,6.0,9.0,11.0,8.0,12.0,11.0,10.0,6.0
2025-06-02T11:33:43.250492,5.0,8.0,12.0,8.0,10.0,9.0,11.0,5.0
2025-06-02T11:33:44.251620,5.0,8.0,11.0,7.0,10.0,10.0,10.0,5.0
2025-06-02T11:33:45.252432,6.0,9.0,12.0,8.0,10.0,10.0,10.0,6.0
2025-06-02T11:33:46.253660,5.0,8.0,11.0,8.0,11.0,11.0,12.0,5.0
2025-06-02T11:33:47.254171,5.0,8.0,12.0,7.0,10.0,10.0,9.0,5.0
2025-06-02T11:33:48.254850,5.0,9.0,12.0,8.0,11.0,10.0,12.0,6.0
2025-06-02T11:33:49.255852,5.0,8.0,11.0,7.0,10.0,10.0,9.0,5.0
2025-06-02T11:33:50.256770,6.0,8.0,12.0,9.0,11.0,10.0,11.0,5.0
2025-06-02T11:33:51.257622,5.0,8.0,12.0,7.0,12.0,10.0,12.0,5.0
2025-06-02T11:33:52.259192,6.0,7.0,17.0,7.0,10.0,9.0,18.9,7.0
2025-06-02T11:33:53.262854,5.0,8.0,16.9,7.0,10.0,9.0,17.0,5.0
2025-06-02T11:33:54.263592,5.0,8.0,17.0,8.0,10.0,10.0,18.0,6.0
2025-06-02T11:33:55.265633,4.0,8.0,17.0,6.0,10.0,9.0,16.0,5.0
2025-06-02T11:33:56.268981,5.0,7.0,16.9,8.0,10.0,9.0,15.9,6.0
2025-06-02T11:33:57.269631,6.0,9.0,17.0,8.0,11.0,10.0,18.0,6.0
2025-06-02T11:33:58.271231,5.0,7.0,18.0,7.0,10.0,10.0,17.0,5.0
2025-06-02T11:33:59.271646,5.0,8.0,16.0,7.0,10.0,9.0,16.0,6.0
2025-06-02T11:34:00.272654,6.0,9.0,18.0,8.0,11.0,10.0,18.0,7.0
2025-06-02T11:34:01.273706,5.0,7.0,16.0,7.0,10.0,10.0,16.0,5.0
2025-06-02T11:34:02.274319,4.0,8.0,17.0,7.0,11.0,9.0,17.0,5.0
2025-06-02T11:34:03.275252,6.0,8.0,18.0,8.0,11.0,10.0,17.0,6.0
2025-06-02T11:34:04.275765,4.0,8.0,16.0,7.0,10.0,9.0,17.0,6.0
2025-06-02T11:34:05.276458,5.0,7.0,17.0,6.0,11.0,10.0,16.0,5.0
2025-06-02T11:34:06.277309,6.0,9.0,18.0,8.0,10.0,10.0,17.0,6.0
2025-06-02T11:34:07.278226,5.0,7.0,17.0,7.0,11.0,9.0,18.0,6.0
2025-06-02T11:34:08.278776,5.0,8.0,16.0,8.0,10.0,9.0,17.0,5.0
2025-06-02T11:34:09.280898,5.0,8.0,18.0,7.0,11.0,9.0,17.0,6.0
2025-06-02T11:34:10.281874,6.0,8.0,16.0,7.0,9.0,10.0,16.0,6.0
2025-06-02T11:34:11.283262,5.0,7.0,18.0,7.0,12.0,9.0,16.0,6.0
2025-06-02T11:34:12.284708,5.0,9.0,17.0,8.0,9.0,9.0,17.0,5.0
2025-06-02T11:34:13.286402,4.0,7.0,16.0,6.0,11.0,9.0,17.0,6.0
2025-06-02T11:34:14.286921,5.0,8.0,18.0,8.0,11.0,10.0,17.0,5.0
2025-06-02T11:34:15.287567,6.0,9.0,17.0,8.0,11.0,10.0,17.0,6.0
2025-06-02T11:34:16.288905,5.0,8.0,17.0,6.0,10.0,9.0,18.0,6.0
2025-06-02T11:34:17.290612,5.0,7.0,17.0,8.0,10.0,9.0,16.0,6.0
2025-06-02T11:34:18.291978,5.0,10.0,17.0,7.0,11.0,10.0,16.9,6.0
2025-06-02T11:34:19.296156,5.0,7.0,16.9,7.0,11.0,10.0,17.0,5.0
2025-06-02T11:34:20.297426,5.0,7.0,17.0,7.0,10.0,9.0,16.0,6.0
2025-06-02T11:34:21.298444,5.0,9.0,17.0,8.0,10.0,10.0,17.0,6.0
