realtime,time,voltage,current
2025-06-02T11:05:59.534170,4.002,16.474000930786133,-0.15000000596046448
2025-06-02T11:06:03.194479,5.001,16.474000930786133,-0.15000000596046448
2025-06-02T11:06:04.840470,6.0,16.474000930786133,-0.15000000596046448
2025-06-02T11:06:06.982127,7.002,16.474000930786133,-0.15000000596046448
2025-06-02T11:06:08.817552,8.001,16.474000930786133,-0.15000000596046448
2025-06-02T11:06:10.654923,9.0,16.473472595214844,-0.5260000228881836
2025-06-02T11:06:12.537130,10.002,16.472938537597656,-0.5260000228881836
2025-06-02T11:06:14.422780,11.001,16.4724063873291,-0.5260000228881836
2025-06-02T11:06:16.286618,12.0,16.47187614440918,-0.5260000228881836
2025-06-02T11:06:18.158771,13.002,16.471342086791992,-0.5260000228881836
2025-06-02T11:06:20.060075,14.001,16.470809936523438,-0.5260000228881836
2025-06-02T11:06:21.929533,15.0,16.470277786254883,-0.5260000228881836
2025-06-02T11:06:23.789686,16.002,16.469743728637695,-0.5260000228881836
2025-06-02T11:06:25.645712,17.001,16.469316482543945,-0.40400001406669617
2025-06-02T11:06:27.720943,18.0,16.468679428100586,-0.5260000228881836
2025-06-02T11:06:29.768044,19.002,16.46814727783203,-0.5260000228881836
2025-06-02T11:06:31.763654,20.001,16.467615127563477,-0.5260000228881836
2025-06-02T11:06:33.788413,21.0,16.467082977294922,-0.5260000228881836
2025-06-02T11:06:35.876336,22.002,16.466548919677734,-0.5260000228881836
2025-06-02T11:06:37.869092,23.001,16.46601676940918,-0.5260000228881836
2025-06-02T11:06:39.908591,24.0,16.465484619140625,-0.5260000228881836
2025-06-02T11:06:41.932453,25.002,16.46495246887207,-0.5260000228881836
2025-06-02T11:06:43.964327,26.001,16.464420318603516,-0.5260000228881836
2025-06-02T11:06:46.020074,27.0,16.46388816833496,-0.5260000228881836
2025-06-02T11:06:48.045168,28.002,16.463354110717773,-0.5260000228881836
2025-06-02T11:06:50.070409,29.001,16.46282196044922,-0.5260000228881836
2025-06-02T11:06:52.125587,30.0,16.462289810180664,-0.5260000228881836
2025-06-02T11:06:54.176963,31.002,16.461755752563477,-0.5260000228881836
2025-06-02T11:06:56.202676,32.001,16.461225509643555,-0.5260000228881836
2025-06-02T11:06:58.214688,33.0,16.460693359375,-0.5260000228881836
2025-06-02T11:07:00.255395,34.002,16.460159301757812,-0.5260000228881836
2025-06-02T11:07:02.267285,35.001,16.459627151489258,-0.5260000228881836
2025-06-02T11:07:04.295210,36.0,16.459095001220703,-0.5260000228881836
2025-06-02T11:07:06.374000,37.002,16.45856285095215,-0.5260000228881836
2025-06-02T11:07:08.394208,38.001,16.458030700683594,-0.5260000228881836
2025-06-02T11:07:10.429670,39.0,16.45749855041504,-0.5260000228881836
2025-06-02T11:07:12.445728,40.002,16.45696449279785,-0.5260000228881836
2025-06-02T11:07:14.510172,41.001,16.456432342529297,-0.5260000228881836
2025-06-02T11:07:16.513697,42.0,16.455900192260742,-0.5260000228881836
2025-06-02T11:07:18.574352,43.002,16.455366134643555,-0.5260000228881836
2025-06-02T11:07:20.606849,44.001,16.454833984375,-0.5260000228881836
2025-06-02T11:07:22.591141,45.0,16.454303741455078,-0.5260000228881836
2025-06-02T11:07:24.609053,46.002,16.45376968383789,-0.5260000228881836
2025-06-02T11:07:26.632659,47.001,16.453237533569336,-0.5260000228881836
2025-06-02T11:07:28.655346,48.0,16.45270538330078,-0.5260000228881836
2025-06-02T11:07:30.709557,49.002,16.452171325683594,-0.5260000228881836
2025-06-02T11:07:32.790142,50.001,16.45163917541504,-0.5260000228881836
2025-06-02T11:07:34.797651,51.0,16.451107025146484,-0.5260000228881836
2025-06-02T11:07:36.882455,52.002,16.45057487487793,-0.5260000228881836
2025-06-02T11:07:38.944311,53.001,16.450042724609375,-0.5260000228881836
2025-06-02T11:07:40.968442,54.0,16.44951057434082,-0.5260000228881836
2025-06-02T11:07:42.966246,55.002,16.448976516723633,-0.5260000228881836
2025-06-02T11:07:45.039042,56.001,16.448444366455078,-0.5260000228881836
2025-06-02T11:07:47.096835,57.0,16.447912216186523,-0.5260000228881836
2025-06-02T11:07:49.140679,58.002,16.44738006591797,-0.5260000228881836
2025-06-02T11:07:51.146442,59.001,16.446847915649414,-0.5260000228881836
2025-06-02T11:07:53.154507,60.0,16.44631576538086,-0.5260000228881836
2025-06-02T11:07:55.167666,61.002,16.445781707763672,-0.5260000228881836
2025-06-02T11:07:57.165125,62.001,16.445249557495117,-0.5260000228881836
2025-06-02T11:07:59.189550,63.0,16.444717407226562,-0.5260000228881836
2025-06-02T11:08:01.184460,64.002,16.444183349609375,-0.5260000228881836
2025-06-02T11:08:03.205156,65.001,16.443653106689453,-0.5260000228881836
2025-06-02T11:08:05.207198,66.0,16.4431209564209,-0.5260000228881836
2025-06-02T11:08:07.273637,67.002,16.44258689880371,-0.5260000228881836
2025-06-02T11:08:09.328371,68.001,16.442054748535156,-0.5260000228881836
2025-06-02T11:08:11.389639,69.0,16.4415225982666,-0.5260000228881836
2025-06-02T11:08:13.427761,70.002,16.440988540649414,-0.5260000228881836
2025-06-02T11:08:15.486966,71.001,16.440458297729492,-0.5260000228881836
2025-06-02T11:08:17.533037,72.0,16.439926147460938,-0.5260000228881836
2025-06-02T11:08:19.575024,73.002,16.43939208984375,-0.5260000228881836
2025-06-02T11:08:21.596640,74.001,16.438859939575195,-0.5260000228881836
2025-06-02T11:08:23.648245,75.0,16.43832778930664,-0.5260000228881836
2025-06-02T11:08:25.727079,76.002,16.437793731689453,-0.5260000228881836
