timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-25T23:33:47.644615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-25T23:33:48.675590,4.8,5.8,7.8,8.7,2.9,2.9,4.8,2.9
2025-06-25T23:33:49.690946,8.9,9.8,9.8,7.9,7.9,7.9,6.9,7.9
2025-06-25T23:33:50.695267,6.0,7.0,17.0,8.0,16.0,11.0,9.0,6.0
2025-06-25T23:33:51.695958,6.0,6.0,10.0,8.0,8.0,5.0,5.0,4.0
2025-06-25T23:33:52.699040,6.0,9.0,9.0,6.0,5.0,6.0,6.0,4.0
2025-06-25T23:33:53.702519,7.0,9.0,7.0,6.0,4.0,4.0,9.0,4.0
2025-06-25T23:33:54.706978,4.0,6.0,8.0,6.0,4.0,5.0,4.0,2.0
2025-06-25T23:33:55.710023,4.0,6.0,8.0,5.0,4.0,3.0,4.0,2.0
2025-06-25T23:33:56.710771,4.0,6.0,8.0,5.0,3.0,3.0,4.0,1.0
2025-06-25T23:33:57.713945,4.0,5.0,8.0,6.0,4.0,3.0,3.0,2.0
2025-06-25T23:33:58.716174,6.0,8.0,9.0,6.0,10.0,7.0,6.0,5.0
2025-06-25T23:33:59.721139,6.0,8.0,9.9,8.0,10.9,9.9,30.8,7.0
2025-06-25T23:34:00.730460,7.9,8.9,11.9,7.9,9.9,9.9,10.9,6.9
2025-06-25T23:34:01.731750,6.0,9.0,10.0,9.0,9.0,9.0,10.0,7.0
2025-06-25T23:34:02.732666,7.0,8.0,10.0,7.0,8.0,9.0,11.0,7.0
2025-06-25T23:34:03.746050,6.9,7.9,9.9,7.9,9.9,9.9,10.9,5.9
2025-06-25T23:34:04.749300,7.0,8.0,10.0,7.0,9.0,10.0,10.0,7.0
2025-06-25T23:34:05.751277,6.0,8.0,10.0,8.0,10.0,8.0,10.0,6.0
2025-06-25T23:34:06.751882,7.0,8.0,10.0,7.0,9.0,10.0,11.0,7.0
2025-06-25T23:34:07.753446,7.0,10.0,11.0,8.0,9.0,9.0,11.0,6.0
2025-06-25T23:34:08.756757,6.0,8.0,10.0,8.0,10.0,9.0,10.0,7.0
2025-06-25T23:34:09.757746,7.0,7.0,10.0,8.0,9.0,10.0,11.0,6.0
2025-06-25T23:34:10.759031,6.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0
2025-06-25T23:34:11.760376,7.0,10.0,10.0,7.0,9.0,10.0,11.0,5.0
2025-06-25T23:34:12.767634,6.0,8.9,9.9,7.9,8.9,8.9,10.9,6.9
2025-06-25T23:34:13.773589,7.0,8.0,9.9,7.0,9.9,9.0,9.9,8.0
2025-06-25T23:34:14.774543,7.0,8.0,11.0,8.0,9.0,10.0,11.0,6.0
2025-06-25T23:34:15.775375,6.0,9.0,10.0,8.0,9.0,10.0,11.0,6.0
2025-06-25T23:34:16.777353,7.0,8.0,10.0,7.0,10.0,9.0,10.0,7.0
2025-06-25T23:34:17.782519,7.0,8.0,9.9,8.0,8.0,9.0,9.9,7.0
2025-06-25T23:34:18.794595,6.9,7.9,9.9,7.9,9.9,8.9,10.9,5.9
2025-06-25T23:34:19.799634,6.0,8.8,9.8,7.8,8.8,8.8,10.8,6.9
2025-06-25T23:34:20.815749,6.9,8.0,11.0,7.0,9.0,10.0,11.0,7.0
2025-06-25T23:34:21.818689,6.0,9.0,10.0,8.0,9.0,9.0,10.0,6.0
2025-06-25T23:34:22.819766,7.0,8.0,10.0,7.0,10.0,9.0,10.0,6.0
2025-06-25T23:34:23.825550,6.0,8.9,8.9,7.0,8.9,8.9,10.9,7.0
2025-06-25T23:34:24.826764,7.0,8.0,11.0,8.0,8.0,10.0,10.0,7.0
2025-06-25T23:34:25.827459,6.0,9.0,10.0,8.0,9.9,8.9,10.9,6.0
2025-06-25T23:34:26.834419,7.0,8.9,8.9,7.0,9.0,9.0,11.0,7.0
2025-06-25T23:34:27.837433,6.0,8.0,11.0,9.0,9.0,9.0,11.0,7.0
2025-06-25T23:34:28.838414,7.0,9.0,11.0,8.0,10.0,10.0,11.0,6.0
2025-06-25T23:34:29.839266,7.0,8.0,9.0,7.0,9.0,9.0,9.0,7.0
2025-06-25T23:34:30.840927,7.0,9.0,12.0,8.0,9.0,10.0,12.0,6.0
2025-06-25T23:34:31.842267,6.0,9.0,9.0,8.0,10.0,10.0,11.0,7.0
2025-06-25T23:34:32.847767,7.0,9.0,10.9,7.0,9.0,9.0,9.9,6.0
2025-06-25T23:34:33.849475,7.0,8.0,10.0,8.0,9.0,9.0,12.0,7.0
2025-06-25T23:34:34.853996,6.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0
2025-06-25T23:34:35.854729,7.0,9.0,10.0,7.0,9.0,10.0,11.0,7.0
2025-06-25T23:34:36.861261,7.0,8.0,10.8,8.8,10.8,8.8,10.8,5.9
2025-06-25T23:34:37.878590,6.9,8.8,10.0,7.0,9.0,10.0,10.0,7.0
2025-06-25T23:34:38.891919,4.9,8.9,10.9,7.9,8.9,8.9,10.9,5.9
2025-06-25T23:34:39.892824,7.0,8.0,10.0,8.0,9.0,10.0,11.0,7.0
2025-06-25T23:34:40.899341,7.0,8.9,9.9,7.9,8.9,8.9,9.9,7.0
2025-06-25T23:34:41.902075,6.0,7.0,10.0,7.0,9.0,9.0,11.0,6.0
2025-06-25T23:34:42.904216,7.0,9.0,10.0,8.0,10.0,9.0,11.0,7.0
2025-06-25T23:34:43.904993,6.0,9.0,11.0,8.0,8.0,11.0,10.0,7.0
2025-06-25T23:34:44.906403,7.0,7.0,10.0,7.0,10.0,8.0,10.0,6.0
2025-06-25T23:34:45.907323,7.0,10.0,10.0,8.0,9.0,10.0,11.0,7.0
2025-06-25T23:34:46.912608,6.0,8.0,11.0,8.0,9.0,8.9,10.9,6.9
2025-06-25T23:34:47.920092,6.9,6.9,9.9,7.9,8.9,10.0,10.9,7.0
2025-06-25T23:34:48.922915,6.0,9.0,10.0,7.0,10.0,9.0,10.0,6.0
2025-06-25T23:34:49.925129,7.0,8.0,11.0,8.0,10.0,10.0,10.0,6.0
2025-06-25T23:34:50.926094,7.0,9.0,10.0,8.0,9.0,11.0,11.0,7.0
2025-06-25T23:34:51.926996,6.0,8.0,10.0,8.0,10.0,9.0,11.0,7.0
2025-06-25T23:34:52.928460,7.0,8.0,11.0,8.0,10.0,11.0,10.0,7.0
2025-06-25T23:34:53.931551,6.0,9.0,9.0,8.0,9.0,10.0,11.0,6.0
2025-06-25T23:34:54.932324,7.0,8.0,11.0,7.0,10.0,9.0,11.0,7.0
2025-06-25T23:34:55.934077,6.0,9.0,11.0,8.0,9.0,10.0,10.0,6.0
2025-06-25T23:34:56.939927,6.0,8.0,10.0,8.0,10.0,9.0,11.0,7.0
2025-06-25T23:34:57.941592,7.0,8.0,11.0,8.0,11.0,10.0,16.0,7.0
2025-06-25T23:34:58.946964,5.0,7.0,11.9,7.0,9.0,10.0,21.9,6.0
2025-06-25T23:34:59.949744,6.0,8.0,10.0,6.0,9.0,7.0,21.9,7.0
