,sum_sq,df,F,PR(>F)
C(Map),0.00013439585957786832,2.0,248.2705992070567,2.8153538790568453e-35
C(Controller),2.8277544177830104e-06,2.0,5.223734465618908,0.007348350009238355
C(Map):C(Controller),5.629883918740719e-06,4.0,5.200065903674994,0.0008853863738643999
Residual,2.192378932619484e-05,81.0,,
