,sum_sq,df,F,PR(>F)
C(Map),17158.245032599818,2.0,251.10340729256976,1.8959565152704672e-35
C(Controller),351.10998020000164,2.0,5.138340908125402,0.007926283315036812
C(Map):C(Controller),707.505689800016,4.0,5.177018076444421,0.0009155854841405895
Residual,2767.4213237999948,81.0,,
