,sum_sq,df,F,PR(>F)
C(Map),5.10034439140744,2.0,59.641621138447995,1.1940882483425285e-16
C(Controller),1056.6430806950025,2.0,12356.009998764719,2.1052385859301828e-101
C(Map):C(Controller),30.154836525615533,4.0,176.30998982955973,3.941771049082918e-39
Residual,3.463419402576228,81.0,,
