Map,Planner,BatteryUsageMean,CPUUsageMean
Map1,DWB,2.1248227357864393,17.682029831364133
Map1,MPPI,2.139521837234496,17.519859092930517
Map1,RPP,2.1410685777664193,11.070027142440802
Map2,DWB,2.225967049598694,17.03036275273834
Map2,MPPI,2.2116363048553476,19.76000089335934
Map2,RPP,2.2041690349578857,10.994262668632263
Map3,DWB,2.383594512939453,17.094440290827762
Map3,MPPI,2.4976968765258825,19.70369005142259
Map3,RPP,2.392556071281433,10.991019127409277
