,sum_sq,df,F,PR(>F)
C(Map),82.95332253759533,2.0,1153.7645196745373,3.015483610562149e-60
C(Controller),5.718650652513996,2.0,79.53842017954153,7.752780037089553e-20
C(Map):C(Controller),7.530101256039391,4.0,52.36658034304437,1.0431782518316665e-21
Residual,2.9118676345848415,81.0,,
