realtime,timestamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
2025-06-18T16:51:21.005638,20.955,0.033179618418216705,0.0,0.0,0.0,0.0,0.001336397952400148
2025-06-18T16:51:21.067779,20.979,0.06382505595684052,0.0,0.0,0.0,0.0,0.011885495856404305
2025-06-18T16:51:21.106226,21.0,0.09165676683187485,0.0,0.0,0.0,0.0,0.01429208554327488
2025-06-18T16:51:21.154977,21.021,0.10990452021360397,0.0,0.0,0.0,0.0,0.017798297107219696
2025-06-18T16:51:21.218301,21.039,0.12823626399040222,0.0,0.0,0.0,0.0,0.019004348665475845
2025-06-18T16:51:21.246229,21.063,0.1438865065574646,0.0,0.0,0.0,0.0,0.027071289718151093
2025-06-18T16:51:21.316052,21.087,0.162662073969841,0.0,0.0,0.0,0.0,0.04555987939238548
2025-06-18T16:51:21.391722,21.114,0.17522947490215302,0.0,0.0,0.0,0.0,0.06613292545080185
2025-06-18T16:51:21.418637,21.138,0.1888543665409088,0.0,0.0,0.0,0.0,0.07473639398813248
2025-06-18T16:51:21.465793,21.162,0.20454537868499756,0.0,0.0,0.0,0.0,0.08809468895196915
2025-06-18T16:51:21.537066,21.186,0.219020277261734,0.0,0.0,0.0,0.0,0.09899549186229706
2025-06-18T16:51:21.579303,21.201,0.2354302704334259,0.0,0.0,0.0,0.0,0.11544451117515564
2025-06-18T16:51:21.614878,21.225,0.244174525141716,0.0,0.0,0.0,0.0,0.12973687052726746
2025-06-18T16:51:21.643944,21.249,0.25399842858314514,0.0,0.0,0.0,0.0,0.14809781312942505
2025-06-18T16:51:21.716218,21.264,0.26,0.0,0.0,0.0,0.0,0.16011153161525726
2025-06-18T16:51:21.766564,21.285,0.26,0.0,0.0,0.0,0.0,0.1771918684244156
2025-06-18T16:51:21.804224,21.309,0.26,0.0,0.0,0.0,0.0,0.19113656878471375
2025-06-18T16:51:21.854332,21.318,0.26,0.0,0.0,0.0,0.0,0.20185920596122742
2025-06-18T16:51:21.896256,21.345,0.26,0.0,0.0,0.0,0.0,0.20932833850383759
2025-06-18T16:51:21.967169,21.366,0.26,0.0,0.0,0.0,0.0,0.21729609370231628
2025-06-18T16:51:22.007003,21.384,0.26,0.0,0.0,0.0,0.0,0.23255132138729095
2025-06-18T16:51:22.096811,21.411,0.26,0.0,0.0,0.0,0.0,0.24533487856388092
2025-06-18T16:51:22.128715,21.423000000000002,0.26,0.0,0.0,0.0,0.0,0.2503623068332672
2025-06-18T16:51:22.167159,21.45,0.26,0.0,0.0,0.0,0.0,0.2530290484428406
2025-06-18T16:51:22.204542,21.468,0.26,0.0,0.0,0.0,0.0,0.25390467047691345
2025-06-18T16:51:22.277113,21.489,0.26,0.0,0.0,0.0,0.0,0.25654512643814087
2025-06-18T16:51:22.315374,21.513,0.26,0.0,0.0,0.0,0.0,0.2670781910419464
2025-06-18T16:51:22.354141,21.534,0.26,0.0,0.0,0.0,0.0,0.27063071727752686
2025-06-18T16:51:22.407638,21.552,0.26,0.0,0.0,0.0,0.0,0.2699638307094574
2025-06-18T16:51:22.456671,21.57,0.26,0.0,0.0,0.0,0.0,0.2702886462211609
2025-06-18T16:51:22.526528,21.582,0.26,0.0,0.0,0.0,0.0,0.27113330364227295
2025-06-18T16:51:22.577912,21.609,0.26,0.0,0.0,0.0,0.0,0.2756526470184326
2025-06-18T16:51:22.614552,21.627,0.26,0.0,0.0,0.0,0.0,0.27133047580718994
2025-06-18T16:51:22.657755,21.648,0.26,0.0,0.0,0.0,0.0,0.27393895387649536
2025-06-18T16:51:22.736545,21.666,0.26,0.0,0.0,0.0,0.0,0.268530011177063
2025-06-18T16:51:22.769172,21.687,0.26,0.0,0.0,0.0,0.0,0.2635655105113983
2025-06-18T16:51:22.806566,21.714,0.26,0.0,0.0,0.0,0.0,0.25775501132011414
2025-06-18T16:51:22.854227,21.729,0.26,0.0,0.0,0.0,0.0,0.2563391327857971
2025-06-18T16:51:22.914363,21.756,0.26,0.0,0.0,0.0,0.0,0.2503640353679657
2025-06-18T16:51:22.955910,21.777,0.26,0.0,0.0,0.0,0.0,0.24240639805793762
2025-06-18T16:51:23.046965,21.798000000000002,0.26,0.0,0.0,0.0,0.0,0.24270106852054596
2025-06-18T16:51:23.068604,21.813,0.26,0.0,0.0,0.0,0.0,0.23688867688179016
2025-06-18T16:51:23.114572,21.837,0.26,0.0,0.0,0.0,0.0,0.2125716358423233
2025-06-18T16:51:23.155139,21.855,0.26,0.0,0.0,0.0,0.0,0.20073509216308594
2025-06-18T16:51:23.206138,21.879,0.26,0.0,0.0,0.0,0.0,0.18919618427753448
2025-06-18T16:51:23.275875,21.897,0.26,0.0,0.0,0.0,0.0,0.1832021325826645
2025-06-18T16:51:23.309230,21.912,0.26,0.0,0.0,0.0,0.0,0.17461292445659637
2025-06-18T16:51:23.357755,21.942,0.26,0.0,0.0,0.0,0.0,0.15872983634471893
2025-06-18T16:51:23.415218,21.96,0.26,0.0,0.0,0.0,0.0,0.1495593935251236
2025-06-18T16:51:23.475046,21.978,0.26,0.0,0.0,0.0,0.0,0.14485444128513336
2025-06-18T16:51:23.504493,22.002,0.26,0.0,0.0,0.0,0.0,0.13669759035110474
2025-06-18T16:51:23.578929,22.02,0.26,0.0,0.0,0.0,0.0,0.1273236721754074
2025-06-18T16:51:23.627014,22.044,0.26,0.0,0.0,0.0,0.0,0.1267179548740387
2025-06-18T16:51:23.675576,22.062,0.26,0.0,0.0,0.0,0.0,0.12521778047084808
2025-06-18T16:51:23.695430,22.08,0.26,0.0,0.0,0.0,0.0,0.1163899302482605
2025-06-18T16:51:23.779773,22.107,0.26,0.0,0.0,0.0,0.0,0.1111404150724411
2025-06-18T16:51:23.805047,22.128,0.26,0.0,0.0,0.0,0.0,0.10616784542798996
2025-06-18T16:51:23.875691,22.146,0.26,0.0,0.0,0.0,0.0,0.10210433602333069
2025-06-18T16:51:23.917679,22.173,0.26,0.0,0.0,0.0,0.0,0.10117430984973907
