timestamp,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-19T12:12:41.608777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-19T12:12:42.609104,5.0,6.0,11.0,7.0,6.0,6.0,6.0,4.0
2025-06-19T12:12:43.618263,10.9,9.9,11.9,7.9,7.9,8.9,8.9,8.9
2025-06-19T12:12:44.629030,8.9,9.9,10.9,8.9,9.9,7.9,9.9,5.9
2025-06-19T12:12:45.629757,3.0,7.0,9.0,6.0,5.0,6.0,6.0,2.0
2025-06-19T12:12:46.630525,5.0,7.0,9.0,6.0,8.0,4.0,7.0,4.0
2025-06-19T12:12:47.633383,5.0,8.0,11.0,8.0,11.0,10.0,20.9,5.0
2025-06-19T12:12:48.635256,7.0,8.0,11.0,8.0,12.0,11.0,15.0,7.0
2025-06-19T12:12:49.637147,5.0,9.0,11.0,8.0,11.0,10.0,12.0,5.0
2025-06-19T12:12:50.639222,5.0,8.0,11.0,7.0,9.0,9.0,10.0,6.0
2025-06-19T12:12:51.639894,6.0,9.0,11.0,8.0,11.0,11.0,11.0,5.0
2025-06-19T12:12:52.640364,6.0,8.0,10.0,8.0,10.0,10.0,11.0,5.0
2025-06-19T12:12:53.642603,5.0,9.0,12.0,8.0,10.0,10.0,11.0,5.0
2025-06-19T12:12:54.644074,6.0,8.0,11.0,8.0,11.0,10.0,11.0,6.0
2025-06-19T12:12:55.646468,5.0,8.0,11.0,7.0,10.0,10.0,11.0,6.0
2025-06-19T12:12:56.647330,5.0,8.0,11.0,8.0,10.0,10.0,11.0,5.0
2025-06-19T12:12:57.647841,6.0,9.0,10.0,8.0,10.0,10.0,11.0,6.0
2025-06-19T12:12:58.648471,5.0,8.0,11.0,8.0,10.0,10.0,11.0,5.0
2025-06-19T12:12:59.649019,5.0,10.0,10.0,8.0,11.0,10.0,11.0,5.0
2025-06-19T12:13:00.650532,6.0,8.0,12.0,6.0,11.0,10.0,11.0,5.0
2025-06-19T12:13:01.652544,5.0,8.0,10.0,9.0,10.0,10.0,11.0,6.0
2025-06-19T12:13:02.653757,6.0,9.0,11.0,8.0,10.0,9.0,11.0,5.0
2025-06-19T12:13:03.654594,5.0,10.0,10.0,7.0,10.0,11.0,10.0,6.0
2025-06-19T12:13:04.655601,5.0,8.0,12.0,8.0,11.0,9.0,12.0,5.0
2025-06-19T12:13:05.656094,6.0,8.0,10.0,7.0,10.0,11.0,10.0,6.0
2025-06-19T12:13:06.657103,5.0,8.0,11.0,8.0,11.0,10.0,11.0,5.0
2025-06-19T12:13:07.657821,6.0,9.0,12.0,8.0,10.0,10.0,12.0,6.0
2025-06-19T12:13:08.658409,5.0,8.0,10.0,7.0,10.0,10.0,10.0,5.0
2025-06-19T12:13:09.662205,6.0,8.0,20.0,8.0,10.0,10.0,18.0,6.0
2025-06-19T12:13:10.664709,6.0,7.0,20.9,8.0,11.0,9.0,19.0,6.0
2025-06-19T12:13:11.665394,5.0,8.0,21.0,7.0,10.0,10.0,18.0,6.0
2025-06-19T12:13:12.669772,6.0,9.0,19.9,7.0,11.0,9.0,18.9,6.0
2025-06-19T12:13:13.670350,4.0,7.0,22.0,8.0,10.0,9.0,18.0,6.0
2025-06-19T12:13:14.672809,5.0,8.0,21.9,7.0,9.0,10.0,18.9,6.0
2025-06-19T12:13:15.674778,6.0,8.0,21.0,8.0,11.0,10.0,18.0,6.0
2025-06-19T12:13:16.675392,5.0,8.0,20.0,7.0,10.0,9.0,19.0,6.0
2025-06-19T12:13:17.676448,5.0,8.0,21.0,7.0,10.0,9.0,17.0,5.0
2025-06-19T12:13:18.677840,6.0,8.0,20.9,7.0,10.0,11.0,19.0,7.0
2025-06-19T12:13:19.679970,6.0,8.0,21.0,8.0,11.0,9.0,18.0,5.0
2025-06-19T12:13:20.681402,4.0,8.0,21.0,7.0,10.0,9.0,18.0,6.0
2025-06-19T12:13:21.682143,6.0,8.0,23.0,8.0,10.0,10.0,19.0,6.0
2025-06-19T12:13:22.683905,5.0,7.0,21.0,7.0,10.0,10.0,19.0,6.0
2025-06-19T12:13:23.685306,6.0,10.0,20.0,7.0,10.0,9.0,18.0,6.0
2025-06-19T12:13:24.686493,5.0,7.0,22.0,7.0,10.0,10.0,19.0,6.0
2025-06-19T12:13:25.689382,6.0,9.0,21.9,7.0,10.0,9.0,16.9,6.0
2025-06-19T12:13:26.691881,4.0,8.0,19.9,9.0,11.0,9.0,19.0,6.0
2025-06-19T12:13:27.693751,6.0,8.0,21.9,7.0,10.0,11.0,18.0,6.0
