realtime,timestamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
2025-06-19T23:01:10.323313,0.0,0.125,0.0,0.0,0.0,0.0,0.16
2025-06-19T23:01:10.324226,0.0,0.25,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.366181,0.0,0.26,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.414268,0.0,0.26,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.460347,0.0,0.26,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.513015,0.0,0.26,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.577435,0.0,0.26,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.608408,0.0,0.26,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.737728,0.0,0.26,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.742742,0.0,0.26,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.755840,0.0,0.26,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.838333,0.0,0.26,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.861208,0.0,0.26,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.977927,0.0,0.26,0.0,0.0,0.0,0.0,0.2999999999999997
2025-06-19T23:01:10.980351,0.0,0.26,0.0,0.0,0.0,0.0,0.1399999999999997
2025-06-19T23:01:11.007174,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.120673,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.126248,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.236767,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.246064,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.262844,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.372436,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.375288,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.406410,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.468272,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.519890,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.633992,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.640915,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.656027,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.719399,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.755962,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.808734,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.874099,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:11.915944,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.025501,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.026396,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.057126,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.127417,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.156221,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.304817,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.314784,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.429287,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.435213,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.457540,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.519249,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.556652,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.670649,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.674964,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.710968,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.776677,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.809360,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.923428,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.926153,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:12.957280,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.028557,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.065142,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:13.107618,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.176347,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.212560,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.324577,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.325749,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.378208,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.419981,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.461495,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.575868,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.583182,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.606844,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.726920,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.727744,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.756247,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.825190,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.857222,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.983676,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:13.989306,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.011118,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.121160,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.124145,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.158203,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.216811,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.261460,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.379154,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.386778,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.411623,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:14.490139,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:14.509497,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:14.618902,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:14.620014,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:14.659676,0.0,0.26,0.0,0.0,0.0,0.0,0.0999999999999997
2025-06-19T23:01:14.722708,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.758329,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.873661,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.879151,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:14.914326,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:15.028446,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2025-06-19T23:01:15.031742,0.0,0.26,0.0,0.0,0.0,0.0,0.0
