realtime,time,voltage,current
2025-06-02T11:33:27.595340,5.001,16.474000930786133,-0.15000000596046448
2025-06-02T11:33:29.343856,6.0,16.474000930786133,-0.15000000596046448
2025-06-02T11:33:31.637986,7.002,16.474000930786133,-0.15000000596046448
2025-06-02T11:33:33.624054,8.001,16.47376251220703,-0.5260000228881836
2025-06-02T11:33:35.527707,9.0,16.473230361938477,-0.5260000228881836
2025-06-02T11:33:37.473150,10.002,16.47269630432129,-0.5260000228881836
2025-06-02T11:33:39.475022,11.001,16.472164154052734,-0.5260000228881836
2025-06-02T11:33:41.371199,12.0,16.47163200378418,-0.5260000228881836
2025-06-02T11:33:43.331442,13.002,16.471099853515625,-0.5260000228881836
2025-06-02T11:33:45.352237,14.001,16.47056770324707,-0.5260000228881836
2025-06-02T11:33:47.209387,15.0,16.470035552978516,-0.5260000228881836
2025-06-02T11:33:49.195912,16.002,16.469512939453125,-0.40400001406669617
2025-06-02T11:33:51.265990,17.001,16.469005584716797,-0.40400001406669617
2025-06-02T11:33:53.364316,18.0,16.46843719482422,-0.5260000228881836
2025-06-02T11:33:55.582170,19.002,16.46790313720703,-0.5260000228881836
2025-06-02T11:33:57.797638,20.001,16.46737289428711,-0.5260000228881836
2025-06-02T11:33:59.992262,21.0,16.466840744018555,-0.5260000228881836
2025-06-02T11:34:02.093030,22.002,16.466306686401367,-0.5260000228881836
2025-06-02T11:34:04.310657,23.001,16.465774536132812,-0.5260000228881836
2025-06-02T11:34:06.550834,24.0,16.465242385864258,-0.5260000228881836
2025-06-02T11:34:08.733954,25.002,16.46470832824707,-0.5260000228881836
2025-06-02T11:34:10.881360,26.001,16.464176177978516,-0.5260000228881836
2025-06-02T11:34:13.076623,27.0,16.46364402770996,-0.5260000228881836
2025-06-02T11:34:15.258668,28.002,16.463111877441406,-0.5260000228881836
2025-06-02T11:34:17.385890,29.001,16.46257972717285,-0.5260000228881836
2025-06-02T11:34:19.544759,30.0,16.462047576904297,-0.5260000228881836
2025-06-02T11:34:21.785181,31.002,16.46151351928711,-0.5260000228881836
2025-06-02T11:34:23.976836,32.001,16.460981369018555,-0.5260000228881836
2025-06-02T11:34:26.136500,33.0,16.46044921875,-0.5260000228881836
2025-06-02T11:34:28.349070,34.002,16.459917068481445,-0.5260000228881836
2025-06-02T11:34:30.573172,35.001,16.45938491821289,-0.5260000228881836
2025-06-02T11:34:32.734963,36.0,16.458852767944336,-0.5260000228881836
2025-06-02T11:34:34.893800,37.002,16.45831871032715,-0.5260000228881836
2025-06-02T11:34:37.116731,38.001,16.457786560058594,-0.5260000228881836
2025-06-02T11:34:39.342556,39.0,16.45725440979004,-0.5260000228881836
2025-06-02T11:34:41.496910,40.002,16.456722259521484,-0.5260000228881836
2025-06-02T11:34:43.703307,41.001,16.45619010925293,-0.5260000228881836
2025-06-02T11:34:45.924235,42.0,16.455657958984375,-0.5260000228881836
2025-06-02T11:34:48.148991,43.002,16.455123901367188,-0.5260000228881836
2025-06-02T11:34:50.285481,44.001,16.454591751098633,-0.5260000228881836
2025-06-02T11:34:52.475169,45.0,16.454059600830078,-0.5260000228881836
2025-06-02T11:34:54.668643,46.002,16.453527450561523,-0.5260000228881836
2025-06-02T11:34:56.862319,47.001,16.45299530029297,-0.5260000228881836
2025-06-02T11:34:59.028013,48.0,16.452463150024414,-0.5260000228881836
2025-06-02T11:35:01.235948,49.002,16.451929092407227,-0.5260000228881836
2025-06-02T11:35:03.454313,50.001,16.451396942138672,-0.5260000228881836
2025-06-02T11:35:05.616461,51.0,16.450864791870117,-0.5260000228881836
2025-06-02T11:35:07.809431,52.002,16.45033073425293,-0.5260000228881836
2025-06-02T11:35:10.018809,53.001,16.449798583984375,-0.5260000228881836
2025-06-02T11:35:12.210390,54.0,16.449268341064453,-0.5260000228881836
2025-06-02T11:35:14.290051,55.002,16.448734283447266,-0.5260000228881836
2025-06-02T11:35:16.499627,56.001,16.44820213317871,-0.5260000228881836
2025-06-02T11:35:18.732087,57.0,16.447669982910156,-0.5260000228881836
2025-06-02T11:35:20.894748,58.002,16.44713592529297,-0.5260000228881836
2025-06-02T11:35:22.989097,59.001,16.446603775024414,-0.5260000228881836
2025-06-02T11:35:25.209994,60.0,16.44607162475586,-0.5260000228881836
2025-06-02T11:35:27.368687,61.002,16.445539474487305,-0.5260000228881836
2025-06-02T11:35:29.464226,62.001,16.44500732421875,-0.5260000228881836
2025-06-02T11:35:31.628752,63.0,16.444475173950195,-0.5260000228881836
2025-06-02T11:35:33.814078,64.002,16.443941116333008,-0.5260000228881836
2025-06-02T11:35:36.001401,65.001,16.443408966064453,-0.5260000228881836
2025-06-02T11:35:38.071035,66.0,16.4428768157959,-0.5260000228881836
2025-06-02T11:35:40.283209,67.002,16.442344665527344,-0.5260000228881836
2025-06-02T11:35:42.463537,68.001,16.44181251525879,-0.5260000228881836
2025-06-02T11:35:44.636153,69.0,16.441280364990234,-0.5260000228881836
2025-06-02T11:35:46.779221,70.002,16.440746307373047,-0.5260000228881836
2025-06-02T11:35:48.952079,71.001,16.440214157104492,-0.5260000228881836
2025-06-02T11:35:51.058545,72.0,16.439682006835938,-0.5260000228881836
2025-06-02T11:35:53.152811,73.002,16.43914794921875,-0.5260000228881836
2025-06-02T11:35:55.261095,74.001,16.438617706298828,-0.5260000228881836
2025-06-02T11:35:57.448815,75.0,16.438085556030273,-0.5260000228881836
2025-06-02T11:35:59.354794,76.002,16.437551498413086,-0.5260000228881836
2025-06-02T11:36:01.469291,77.001,16.43701934814453,-0.5260000228881836
