timestamp,smoother_server,bt_navigator,map_server,amcl,controller_server,planner_server,behavior_server,velocity_smoother
2025-06-18T13:09:23.890582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T13:09:24.890984,7.0,6.0,5.0,7.0,8.0,9.0,4.0,5.0
2025-06-18T13:09:25.892416,15.0,9.0,10.0,11.0,12.0,10.0,8.0,8.0
2025-06-18T13:09:26.895129,9.0,10.0,7.0,8.0,10.0,11.0,7.0,6.0
2025-06-18T13:09:27.895606,8.0,7.0,8.0,9.0,13.0,6.0,9.0,5.0
2025-06-18T13:09:28.896085,5.0,7.0,4.0,7.0,10.0,9.0,5.0,4.0
2025-06-18T13:09:29.896716,6.0,6.0,4.0,7.0,9.0,8.0,5.0,2.0
2025-06-18T13:09:30.898015,8.0,21.0,6.0,8.0,9.0,12.0,9.0,6.0
2025-06-18T13:09:31.898762,7.0,15.0,6.0,8.0,12.0,10.0,9.0,6.0
2025-06-18T13:09:32.899269,7.0,10.0,5.0,7.0,9.0,9.0,9.0,5.0
2025-06-18T13:09:33.899847,8.0,11.0,5.0,8.0,10.0,9.0,8.0,5.0
2025-06-18T13:09:34.901631,6.0,10.0,5.0,8.0,11.0,10.0,11.0,5.0
2025-06-18T13:09:35.902189,8.0,10.0,5.0,8.0,10.0,10.0,9.0,5.0
2025-06-18T13:09:36.903373,7.0,10.0,5.0,7.0,11.0,9.0,9.0,5.0
2025-06-18T13:09:37.904383,7.0,11.0,5.0,9.0,10.0,11.0,10.0,5.0
2025-06-18T13:09:38.904878,8.0,9.0,5.0,8.0,11.0,9.0,10.0,5.0
2025-06-18T13:09:39.905889,7.0,11.0,5.0,7.0,9.0,10.0,9.0,4.0
2025-06-18T13:09:40.906486,7.0,11.0,5.0,9.0,12.0,11.0,10.0,6.0
2025-06-18T13:09:41.907472,7.0,9.0,4.0,9.0,10.0,9.0,10.0,5.0
2025-06-18T13:09:42.907945,8.0,10.0,6.0,8.0,10.0,9.0,9.0,5.0
2025-06-18T13:09:43.908416,6.0,11.0,5.0,8.0,10.0,11.0,10.0,5.0
2025-06-18T13:09:44.911511,8.0,9.0,4.0,8.0,11.0,9.0,10.0,5.0
2025-06-18T13:09:45.912123,7.0,11.0,6.0,9.0,10.0,10.0,9.0,5.0
2025-06-18T13:09:46.912697,8.0,10.0,5.0,9.0,11.0,10.0,9.0,5.0
2025-06-18T13:09:47.913730,7.0,9.0,4.0,7.0,8.0,9.0,9.0,5.0
2025-06-18T13:09:48.914263,6.0,10.0,5.0,7.0,10.0,9.0,9.0,4.0
2025-06-18T13:09:49.914696,8.0,10.0,5.0,7.0,11.0,10.0,10.0,6.0
2025-06-18T13:09:50.915186,7.0,10.0,5.0,9.0,9.0,10.0,10.0,5.0
2025-06-18T13:09:51.918484,7.0,10.0,5.0,7.0,11.0,10.0,9.0,5.0
2025-06-18T13:09:52.919803,8.0,10.0,5.0,8.0,10.0,9.0,10.0,5.0
2025-06-18T13:09:53.920664,6.0,17.0,6.0,8.0,15.0,12.0,9.0,6.0
2025-06-18T13:09:54.921339,7.0,20.0,4.0,8.0,17.0,10.0,10.0,4.0
2025-06-18T13:09:55.925111,7.0,16.9,5.0,7.0,18.9,9.0,9.0,6.0
2025-06-18T13:09:56.925682,8.0,18.0,6.0,8.0,16.0,9.0,9.0,6.0
2025-06-18T13:09:57.926171,7.0,18.0,4.0,7.0,17.0,10.0,9.0,5.0
2025-06-18T13:09:58.926739,7.0,17.0,5.0,8.0,18.0,10.0,10.0,6.0
2025-06-18T13:09:59.928296,6.0,19.0,5.0,7.0,17.0,10.0,8.0,5.0
2025-06-18T13:10:00.932203,7.0,16.9,4.0,7.0,16.9,9.0,10.0,6.0
2025-06-18T13:10:01.932979,7.0,18.0,6.0,8.0,18.0,10.0,9.0,6.0
2025-06-18T13:10:02.933757,7.0,17.0,5.0,7.0,17.0,10.0,8.0,5.0
2025-06-18T13:10:03.934795,7.0,17.0,4.0,8.0,18.0,9.0,10.0,5.0
2025-06-18T13:10:04.935528,7.0,18.0,6.0,8.0,16.0,11.0,9.0,6.0
2025-06-18T13:10:05.938650,7.0,17.0,4.0,7.0,17.9,10.0,9.0,5.0
2025-06-18T13:10:06.940760,7.0,18.0,5.0,8.0,18.0,9.0,10.0,5.0
2025-06-18T13:10:07.941304,7.0,18.0,5.0,7.0,17.0,10.0,9.0,7.0
2025-06-18T13:10:08.942205,7.0,18.0,5.0,8.0,17.0,10.0,10.0,5.0
2025-06-18T13:10:09.942731,7.0,18.0,5.0,8.0,17.0,9.0,8.0,6.0
