realtime,time,voltage,current,percentage
2025-06-10T15:50:16.609763,4.002,16.474000930786133,-0.15000000596046448,1.0
2025-06-10T15:50:18.597470,5.001,16.474000930786133,-0.15000000596046448,1.0
2025-06-10T15:50:20.611491,6.0,16.474000930786133,-0.15000000596046448,1.0
2025-06-10T15:50:22.516352,7.002,16.473552703857422,-0.5260000228881836,0.999925434589386
2025-06-10T15:50:24.421010,8.001,16.473020553588867,-0.5260000228881836,0.999836802482605
2025-06-10T15:50:26.340821,9.0,16.472488403320312,-0.5260000228881836,0.9997481107711792
2025-06-10T15:50:28.243385,10.002,16.471954345703125,-0.5260000228881836,0.9996591806411743
2025-06-10T15:50:30.199075,11.001,16.471424102783203,-0.5260000228881836,0.9995705485343933
2025-06-10T15:50:32.176158,12.0,16.47089195251465,-0.5260000228881836,0.9994818568229675
2025-06-10T15:50:34.088326,13.002,16.47035789489746,-0.5260000228881836,0.9993929266929626
2025-06-10T15:50:36.063991,14.001,16.469825744628906,-0.5260000228881836,0.9993042945861816
2025-06-10T15:50:38.032184,15.0,16.469324111938477,-0.40400001406669617,0.9992206692695618
2025-06-10T15:50:40.174845,16.002,16.468759536743164,-0.5260000228881836,0.999126672744751
2025-06-10T15:50:42.409586,17.001,16.46822738647461,-0.5260000228881836,0.99903804063797
2025-06-10T15:50:44.668813,18.0,16.467695236206055,-0.5260000228881836,0.9989493489265442
2025-06-10T15:50:46.903988,19.002,16.4671630859375,-0.5260000228881836,0.9988604784011841
2025-06-10T15:50:49.141348,20.001,16.466630935668945,-0.5260000228881836,0.9987717866897583
2025-06-10T15:50:51.405400,21.0,16.46609878540039,-0.5260000228881836,0.9986831545829773
2025-06-10T15:50:53.684346,22.002,16.465564727783203,-0.5260000228881836,0.9985942244529724
2025-06-10T15:50:55.921855,23.001,16.46503257751465,-0.5260000228881836,0.9985055327415466
2025-06-10T15:50:58.183931,24.0,16.464502334594727,-0.5260000228881836,0.9984169006347656
2025-06-10T15:51:00.438049,25.002,16.46396827697754,-0.5260000228881836,0.9983279705047607
2025-06-10T15:51:02.715212,26.001,16.463436126708984,-0.5260000228881836,0.998239278793335
2025-06-10T15:51:04.974440,27.0,16.46290397644043,-0.5260000228881836,0.998150646686554
2025-06-10T15:51:07.194806,28.002,16.462369918823242,-0.5260000228881836,0.9980617165565491
2025-06-10T15:51:09.412955,29.001,16.461837768554688,-0.5260000228881836,0.9979730248451233
2025-06-10T15:51:11.684594,30.0,16.461305618286133,-0.5260000228881836,0.9978843927383423
2025-06-10T15:51:13.942882,31.002,16.460773468017578,-0.5260000228881836,0.9977954626083374
2025-06-10T15:51:16.123454,32.001,16.460241317749023,-0.5260000228881836,0.9977067708969116
2025-06-10T15:51:18.385836,33.0,16.45970916748047,-0.5260000228881836,0.9976181387901306
2025-06-10T15:51:20.679190,34.002,16.45917510986328,-0.5260000228881836,0.9975292086601257
2025-06-10T15:51:22.907753,35.001,16.458642959594727,-0.5260000228881836,0.9974405169487
2025-06-10T15:51:25.114412,36.0,16.458110809326172,-0.5260000228881836,0.997351884841919
2025-06-10T15:51:27.356854,37.002,16.457578659057617,-0.5260000228881836,0.9972629547119141
2025-06-10T15:51:29.606872,38.001,16.457046508789062,-0.5260000228881836,0.9971742630004883
2025-06-10T15:51:31.917185,39.0,16.456514358520508,-0.5260000228881836,0.9970856308937073
2025-06-10T15:51:34.156053,40.002,16.45598030090332,-0.5260000228881836,0.9969967007637024
2025-06-10T15:51:36.430437,41.001,16.455448150634766,-0.5260000228881836,0.9969080090522766
2025-06-10T15:51:38.689789,42.0,16.45491600036621,-0.5260000228881836,0.9968193769454956
2025-06-10T15:51:40.925353,43.002,16.454381942749023,-0.5260000228881836,0.9967304468154907
2025-06-10T15:51:43.081954,44.001,16.4538516998291,-0.5260000228881836,0.9966418147087097
2025-06-10T15:51:45.345483,45.0,16.453319549560547,-0.5260000228881836,0.9965531229972839
2025-06-10T15:51:47.614284,46.002,16.45278549194336,-0.5260000228881836,0.996464192867279
2025-06-10T15:51:49.870721,47.001,16.452253341674805,-0.5260000228881836,0.996375560760498
2025-06-10T15:51:52.119188,48.0,16.45172119140625,-0.5260000228881836,0.9962868690490723
2025-06-10T15:51:54.385163,49.002,16.451187133789062,-0.5260000228881836,0.9961979389190674
2025-06-10T15:51:56.641986,50.001,16.450654983520508,-0.5260000228881836,0.9961093068122864
2025-06-10T15:51:58.895799,51.0,16.450122833251953,-0.5260000228881836,0.9960206151008606
2025-06-10T15:52:01.085014,52.002,16.4495906829834,-0.5260000228881836,0.9959316849708557
2025-06-10T15:52:03.298785,53.001,16.449058532714844,-0.5260000228881836,0.9958430528640747
2025-06-10T15:52:05.556126,54.0,16.44852638244629,-0.5260000228881836,0.9957543611526489
2025-06-10T15:52:07.809949,55.002,16.4479923248291,-0.5260000228881836,0.995665431022644
2025-06-10T15:52:09.989849,56.001,16.447460174560547,-0.5260000228881836,0.995576798915863
2025-06-10T15:52:12.219120,57.0,16.446928024291992,-0.5260000228881836,0.9954881072044373
2025-06-10T15:52:14.635452,58.002,16.446395874023438,-0.5260000228881836,0.9953991770744324
2025-06-10T15:52:17.123395,59.001,16.445863723754883,-0.5260000228881836,0.9953105449676514
2025-06-10T15:52:19.315066,60.0,16.445331573486328,-0.5260000228881836,0.9952218532562256
2025-06-10T15:52:21.603326,61.002,16.44479751586914,-0.5260000228881836,0.9951329231262207
2025-06-10T15:52:23.802567,62.001,16.444265365600586,-0.5260000228881836,0.9950442910194397
